citacao,facto,vies
"""Sr. Presidente, nesta data e por este instrumento, em caráter irrevogável e irretratável, renuncio ao mandato de deputado federal, representando o povo da Paraíba, a fim de possibilitar que esse povo me julgue, sem prerrogativa de foro como um igual que sempre fui.","Segundo informações da assessoria do apresentador, ele não poderia comparecer ao Deic na quarta-feira para reconhecer o suspeito devido às gravações de seu programa no Rio de Janeiro.","Desde que Bolsonaro teve um desempenho superior ao que os entrevistados diziam no primeiro turno, seus apoiadores iniciaram uma campanha para criminalizar os institutos de pesquisa por supostos erros, aprovando urgência de um projeto nesse sentido na Câmara -embora os levantamentos não se prestem a errar ou acertar resultados."
"Se não passou, vamos colocar as alternativas seguintes"", disse.","O valor representa 10,45% do total de óbitos por Covid-19 no mundo, que corresponde a um total de mais de 6,5 milhões de mortes, segundo a mesma plataforma Worldometers.","O presidente da Câmara, Arlindo Chinaglia (PT-SP), evitou criticar o mérito da proposta, mas lembrou que as matérias sempre podem sofrer alterações e disse que primeiro a Casa vai terminar de votar os projetos infraconstitucionais da reforma política."
"""O candidato Lula, que não veio, por estar com salto alto ou achar que já ganhou...","Ele teve problemas com sua hepatite aguda, mas não é grave, segundo médico","Os dados verdadeiros da pesquisa, também apresentados pelo Jornal Nacional, mostram que Lula tem 53% das intenções de voto no segundo turno, enquanto Bolsonaro tem 36%."
"Ele tentou criar um ambiente de rejeição ao PT que não existe"", disse o presidente do partido.","Segundo Nogueira, o salário do governador é 95% do que recebe um deputado federal, mas não tem vinculação direta ao salários dos secretários de Estado.","Lula ressaltou que, com o Programa Fome Zero, conseguiu atingir o primeiro ponto das Metas do Milênio - erradicar a fome -, com dez anos de antecedência, reduzindo em mais da metade a pobreza extrema."
"Não julgo prudente para o próprio PT a concentração de poder"", disse.","Também nesta sexta, às 19h, a Folha realiza a segunda live sobre a pesquisa Datafolha do segundo turno das eleições.","Como mostrou a Folha, o Ministério da Defesa adotou o silêncio após o primeiro turno das eleições e não responde a pedidos de informação sobre a fiscalização realizada no sistema eletrônico de votação em 2 de outubro."
"E por isso é que ele ficou apavorado e tentou se explicar o mais rápido possível"", afirmou o ex-presidente.","Os dados verdadeiros da pesquisa, também apresentados pelo Jornal Nacional, mostram que Lula tem 53% das intenções de voto no segundo turno, enquanto Bolsonaro tem 36%.","Sem citar nominalmente o adversário, Alckmin criticou de novo Lula ao comentar especulações de que o petista, convicto na vitória no primeiro turno, já estaria fazendo planos sobre sua nova equipe ministerial."
"É necessário fazer a recuperação da base como um todo e depois o revestimento, pra cobrir o que está bom e não pra cobrir o que está ruim"", disse Paulo César Marques, coordenador de pós-graduação da área de transporte da Unb.","Um dos centros da investigação é o município de Igarapé Grande, a 300 km de São Luís, onde foram detectados indícios de desvios de recursos e fraudes em contratos firmados pela cidade, segundo a PF.Em 2020, o município informou ter realizado mais de 12,7 mil radiografias de dedo no sistema público de saúde -a população da cidade é de 11,5 mil habitantes.","Segundo aliados, o presidente desta vez evitou temas polêmicos, como fez na passagem pelo funeral da rainha Elizabeth II, quando voltou a sugerir que pode não aceitar o resultado das eleições deste ano."
"Infelizmente, por outros motivos que desconhecemos, os recursos não foram aplicados na conservação e manutenção dessas estradas, que ficaram sob a responsabilidade dos governos estaduais"", disse Luís Munhoz, coordenador geral de construção do Dnit.","Lula ressaltou que, com o Programa Fome Zero, conseguiu atingir o primeiro ponto das Metas do Milênio - erradicar a fome -, com dez anos de antecedência, reduzindo em mais da metade a pobreza extrema.","A afirmação do comitê não tem nenhum efeito jurídico, mas tem peso político para fortalecer o discurso de Lula de perseguição política às vésperas da disputa eleitoral na qual lidera as pesquisas de intenção de voto."
"Há regras boas e ruins, mas não ter nenhuma regra e gerar uma incerteza enorme nos gastos públicos é muito ruim para a economia"", disse Arida em entrevista ao Estadão.","Segundo o Dnit, Departamento Nacional de Infra-estrutura de Transportes, esses números podem crescer, porque as reformas também vão ser feitas nas estradas repassadas ao governo dos estados em 2002.","Em 2022, são 428 registros até o momento (incluindo casos que o MPT não sabe dizer se ocorreram no primeiro ou no segundo turno).Os dados levantados pelo MPT confirmam a avaliação feita por sindicalistas e pelo comando da campanha do ex-presidente Luiz Inácio Lula da Silva (PT) de que os episódios explodiram após o primeiro turno das eleições."
"Por isso que ele ficou apavorado, tentou se explicar o mais rápido possível"", afirmou Lula.","Já Bolsonaro declarou até agora receita de R$ 67 milhões, sendo R$ 16,5 milhões de origem pública -os fundos partidário e eleitoral do PL.Bolsonaro coleciona vários doadores privados com cifra próxima ou acima de R$ 1 milhão, vários deles do agronegócio.","A deputada federal eleita Rosangela Moro (União Brasil-SP), mulher do ex-juiz, também foi entusiasta da reaproximação, com o discurso de unir forças para derrotar Lula no segundo turno."
